"filename", "language", "JavaScript", "Groovy", "Properties", "Batch", "XML", "Java", "Markdown", "Shell Script", "C", "Makefile", "C++", "JSON", "Objective-C", "comment", "blank", "total"
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Components/MeasureProgressView/MeasureProgressView.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 122
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Components/MeasureTypeView/MeasureTypeView.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 91
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Components/Mode/ModeUtil.js", "JavaScript", 499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 55, 591
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Components/UploadDataFlag/UploadDataFlagView.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 105
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/CheckingModule.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 7, 95
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/CodeInput/CodeInputView.js", "JavaScript", 484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 68, 630
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/DeviceEquipped/DeviceEquippedView.js", "JavaScript", 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 116, 1064
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/DeviceFInish/DeviceFinishView.js", "JavaScript", 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 19, 253
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/DischargeElectricity/DischargeElectricityView.js", "JavaScript", 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 49, 407
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/FunctionSelection/FunctionSelectionView.js", "JavaScript", 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 23, 348
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/GenderSelection/GenderSelectionView.js", "JavaScript", 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 35, 295
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/HandGuide/HandGuideView.js", "JavaScript", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 22, 220
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/PhotoTaken/PhotoTakenView.js", "JavaScript", 600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 88, 828
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/PhotoTaken/PhotoTakenView2.js", "JavaScript", 883, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 117, 1130
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/PhotoTaken/SecScreenActionButton.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 79
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/QRScanning/QRScanningMode1View.js", "JavaScript", 364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 47, 432
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/QRScanning/QRScanningView.js", "JavaScript", 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 51, 481
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/TakePhoto/TakePhotoFaceView.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 108
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/TakePhoto/TakePhotoTongueView.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/UserInfo/BothCodeInputView.js", "JavaScript", 581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 62, 660
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/UserInfo/MobileInputView.js", "JavaScript", 447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 49, 511
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/UserInfo/SalesmanCodeInputView.js", "JavaScript", 449, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 49, 513
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/UserInfo/UserInfoView.js", "JavaScript", 521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 39, 577
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Checking/UserInfo/VerifyCodeInputView.js", "JavaScript", 725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 71, 828
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Measurement/Index/MeasureMainView.js", "JavaScript", 885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 151, 1115
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/Measurement/Index/MeasureMainViewT.js", "JavaScript", 375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 72, 510
"/Users/lvwang2002/Desktop/CodeSource/work/kang_jia/kang_jia/UIModule/Main/System/ErrorModule/SystemErrorView.js", "JavaScript", 463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 68, 555
